id_processo,cnpj,tj,leilao_teve,leilao_data,leilao_vendeu,upi_teve,upi_vendeu
04176625020138190001,33388182000179,RJ,Não,NA,NA,Sim,NA
04225817720168190001,40421406000162,RJ,Não,NA,NA,Não,NA
04225817720168190001,08346404000143,RJ,Não,NA,NA,Não,NA
04225817720168190001,14781006000158,RJ,Não,NA,NA,Não,NA
04225817720168190001,15836872000161,RJ,Não,NA,NA,Não,NA
04225817720168190001,20946175000101,RJ,Não,NA,NA,Não,NA
04225817720168190001,13185066000145,RJ,Não,NA,NA,Não,NA
04225817720168190001,10736732000106,RJ,Não,NA,NA,Não,NA
04225817720168190001,13167132000154,RJ,Não,NA,NA,Não,NA
04225817720168190001,14068603000130,RJ,Não,NA,NA,Não,NA
02487914720198190001,12243301000125,RJ,Sim,2020-07-15,Sim,Sim,NA
02487914720198190001,15427668000197,RJ,Sim,2020-07-15,Sim,Sim,NA
02802301320188190001,33200049000147,RJ,Não,NA,NA,Sim,NA
02802301320188190001,08018417000193,RJ,Não,NA,NA,Sim,NA
02802301320188190001,29979440000114,RJ,Não,NA,NA,Sim,NA
00534416320158190001,03850067000103,RJ,NA,NA,NA,Sim,NA
00534416320158190001,03504493000195,RJ,NA,NA,NA,Sim,NA
00534416320158190001,04082647000160,RJ,NA,NA,NA,Sim,NA
00534416320158190001,08086917000162,RJ,NA,NA,NA,Sim,NA
00534416320158190001,08589404000174,RJ,NA,NA,NA,Sim,NA
00534416320158190001,04750747000118,RJ,NA,NA,NA,Sim,NA
00534416320158190001,10997623000134,RJ,NA,NA,NA,Sim,NA
01163302420138190001,02193750000152,RJ,NA,NA,NA,Sim,NA
01163302420138190001,90195892000116,RJ,NA,NA,NA,Sim,NA
01163302420138190001,33017088000103,RJ,NA,NA,NA,Sim,NA
00039859420138190008,07941451000172,RJ,NA,NA,NA,NA,NA
00039859420138190008,10817081000170,RJ,NA,NA,NA,NA,NA
00039859420138190008,10817061000108,RJ,NA,NA,NA,NA,NA
02884639620188190001,30521090000127,RJ,Não,NA,NA,Sim,NA
02884639620188190001,12045924000193,RJ,Não,NA,NA,Sim,NA
02884639620188190001,NA,RJ,Não,NA,NA,Sim,NA
02884639620188190001,12981793000156,RJ,Não,NA,NA,Sim,NA
02884639620188190001,26496540000100,RJ,Não,NA,NA,Sim,NA
02884639620188190001,11801519000195,RJ,Não,NA,NA,Sim,NA
02884639620188190001,11801960000177,RJ,Não,NA,NA,Sim,NA
02884639620188190001,05722506000128,RJ,Não,NA,NA,Sim,NA
00550679120148190021,00829418000106,RJ,Não,NA,NA,Sim,NA
00550679120148190021,11122584000194,RJ,Não,NA,NA,Sim,NA
00297412420168190001,07872408000100,RJ,NA,NA,NA,Sim,NA
00297412420168190001,21001761000138,RJ,NA,NA,NA,Sim,NA
00297412420168190001,04651067000147,RJ,NA,NA,NA,Sim,NA
00011018320188190019,03925618000150,RJ,Não,NA,NA,Não,NA
00011018320188190019,07267371000183,RJ,Não,NA,NA,Não,NA
00011018320188190019,14980616000180,RJ,Não,NA,NA,Não,NA
00011018320188190019,30007873000197,RJ,Não,NA,NA,Não,NA
03984391420138190001,33068883000120,RJ,NA,NA,NA,Sim,NA
03984391420138190001,28814739000156,RJ,NA,NA,NA,Sim,NA
00862518220128190038,31069347000114,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,04305863000128,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,08617898000153,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,10277470000150,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,10333693000198,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,09338485000100,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,09496717000140,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,07283059000183,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,06787408000131,RJ,Sim,2013-10-15,Sim,Não,NA
00862518220128190038,09476768000100,RJ,Sim,2013-10-15,Sim,Não,NA
03606366520118190001,39414552000181,RJ,NA,NA,NA,Não,NA
03606366520118190001,07575127000188,RJ,NA,NA,NA,Não,NA
02145153420128190001,10788628000157,RJ,NA,NA,NA,Sim,NA
02145153420128190001,09646917000132,RJ,NA,NA,NA,Sim,NA
02145153420128190001,09299205000194,RJ,NA,NA,NA,Sim,NA
02145153420128190001,06994480000130,RJ,NA,NA,NA,Sim,NA
02145153420128190001,09269072000103,RJ,NA,NA,NA,Sim,NA
01176082120178190001,42407445000130,RJ,NA,NA,NA,Não,NA
02201846320158190001,09008431000179,RJ,NA,NA,NA,Não,NA
02201846320158190001,33461567000114,RJ,NA,NA,NA,Não,NA
02201846320158190001,46011524000189,RJ,NA,NA,NA,Não,NA
02201846320158190001,33412081000196,RJ,NA,NA,NA,Não,NA
03465343320148190001,42415810000159,RJ,NA,NA,NA,Sim,NA
03465343320148190001,30038152000144,RJ,NA,NA,NA,Sim,NA
00126330820188190002,02926485000174,RJ,NA,NA,NA,NA,NA
04666624820158190001,03855323000155,RJ,NA,NA,NA,Não,NA
02381491520198190001,00343915000108,RJ,NA,NA,NA,NA,NA
02381491520198190001,05877417000150,RJ,NA,NA,NA,NA,NA
02381491520198190001,19276592000105,RJ,NA,NA,NA,NA,NA
02381491520198190001,15151685000144,RJ,NA,NA,NA,NA,NA
02381491520198190001,18883828000109,RJ,NA,NA,NA,NA,NA
00009914120148190014,28963189000137,RJ,Sim,2015-11-09,Sim,NA,NA
00009914120148190014,14830030000130,RJ,Sim,2015-11-09,Sim,NA,NA
00009914120148190014,74185117000123,RJ,Sim,2015-11-09,Sim,NA,NA
00009914120148190014,74185174000102,RJ,Sim,2015-11-09,Sim,NA,NA
00009914120148190014,86685765000128,RJ,Sim,2015-11-09,Sim,NA,NA
00155070920158190054,09176640000121,RJ,NA,NA,NA,Sim,NA
00155070920158190054,11094822000103,RJ,NA,NA,NA,Sim,NA
00155070920158190054,04096296000147,RJ,NA,NA,NA,Sim,NA
00155070920158190054,04526087000196,RJ,NA,NA,NA,Sim,NA
04392010420158190001,00919246000161,RJ,Não,NA,NA,Sim,NA
04392010420158190001,04713718000186,RJ,Não,NA,NA,Sim,NA
04392010420158190001,10474006000154,RJ,Não,NA,NA,Sim,NA
04392010420158190001,10473733000105,RJ,Não,NA,NA,Sim,NA
00856458720208190001,33035536000100,RJ,NA,NA,NA,NA,NA
