tipo_andamento,classe,num_processo,link,relator,data_autuacao,data_baixa,meio_processo,grupo_origem,assunto_completo,com_pedido_vista,merito_pendente,ramo_direito,em_tramitacao,qtd_processos
recebido,AC,2245,https://portal.stf.jus.br/processos/detalhe.asp?incidente=2652410,-,12/12/2008,24/02/2012,Físico,Originária,"1 - DIREITO PENAL || CRIMES CONTRA O PATRIMÔNIO || APROPRIAÇÃO INDÉBITA PREVIDENCIÁRIA 2 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS || INDISPONIBILIDADE / SEQÜESTRO DE BENS",Não,Não,DIREITO PENAL,Não,1
recebido,AC,2573,https://portal.stf.jus.br/processos/detalhe.asp?incidente=3852191,-,12/03/2010,-,Eletrônico,Originária,1 - DIREITO AMBIENTAL,Não,Sim,DIREITO AMBIENTAL,Sim,1
recebido,AC,3601,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4556499,-,07/04/2014,04/12/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO TELEFÔNICO,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3603,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4556566,-,07/04/2014,04/12/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO TELEFÔNICO,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3604,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4556663,-,07/04/2014,04/12/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO FISCAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3605,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4556680,-,07/04/2014,04/12/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || INVESTIGAÇÃO PENAL || QUEBRA DO SIGILO TELEFÔNICO,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3625,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4572073,-,09/05/2014,12/05/2014,Físico,Originária,-,Não,Não se aplica,-,Não,1
recebido,AC,3673,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4603580,-,14/07/2014,19/11/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3674,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4603594,-,14/07/2014,14/01/2015,Físico,Originária,0 - DIREITO PROCESSUAL PENAL,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
recebido,AC,3687,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4608632,-,01/08/2014,12/08/2014,Eletrônico,Originária,-,Não,Não se aplica,-,Não,1
recebido,AC,3688,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4608636,-,01/08/2014,12/08/2014,Eletrônico,Originária,-,Não,Não se aplica,-,Não,1
recebido,AC,3689,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4608642,-,01/08/2014,12/08/2014,Eletrônico,Originária,-,Não,Não se aplica,-,Não,1
recebido,AC,3690,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4608649,-,01/08/2014,12/08/2014,Eletrônico,Originária,-,Não,Não se aplica,-,Não,1
recebido,AC,3707,https://portal.stf.jus.br/processos/detalhe.asp?incidente=4627301,-,03/09/2014,19/09/2014,Físico,Originária,0 - DIREITO PROCESSUAL PENAL || MEDIDAS ASSECURATÓRIAS,Não,Não,DIREITO PROCESSUAL PENAL,Não,1
