id_processo,status,area,assunto,vara,data_hora,controle,incidente,processo_principal,recebido_em,processo,cdp,digital,classe,distribuicao,juiz,local_fisico,execucao_de_sentenca,erro,valor_da_acao,outros_numeros,dados_da_precatoria,outros_assuntos,apensado_ao,acao_incidental,cdas,entranhado_ao
1077308-38.2013.8.26.0100,,Civel,Recuperacao judicial e Falencia,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,18/12/2015 as 14:40,2013/000252,Habilitacao de Credito (0000022-93.2016.8.26.0100) Extinto,1077308-38.2013.8.26.0100,18/12/2015 as 14:40 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,1077308-38.2013.8.26.0100,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077308-38.2013.8.26.0100,,Civel,Recuperacao judicial e Falencia,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,18/12/2015 as 14:49,2013/000252,Habilitacao de Credito (0000024-63.2016.8.26.0100) Extinto,1077308-38.2013.8.26.0100,18/12/2015 as 14:49 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,1077308-38.2013.8.26.0100,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000045-54.2007.8.26.0100,Suspenso,Criminal,Crimes Falimentares,2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,20/07/2007 as 08:00 - Direcionada,2009/000357,NA,NA,NA,0000045-54.2007.8.26.0100 (000.07.000045-0) Suspenso,NA,FALSE,Crime Falimentar,20/07/2007 as 08:00 - Direcionada | 2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,PAULO FURTADO DE OLIVEIRA FILHO,31/10/2018 00:00 - Mesa do Diretor - HELENA 31/10 ( 1 E 2 VOLS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0044608-84.2017.8.26.0100,,Civel,Recuperacao judicial e Falencia,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,23/12/2019 as 13:19,2016/000316,NA,0044608-84.2017.8.26.0100,23/12/2019 as 13:19 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0044608-84.2017.8.26.0100,NA,TRUE,NA,NA,JOAO DE OLIVEIRA RODRIGUES FILHO,NA,Cumprimento de sentenca (0000052-89.2020.8.26.0100),NA,NA,NA,NA,NA,NA,NA,NA,NA
0000075-89.2007.8.26.0100,,Criminal,Crimes Falimentares,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,05/12/2007 as 08:00 - Direcionada,2007/000546,NA,NA,NA,0000075-89.2007.8.26.0100 (000.07.000075-1),NA,FALSE,Acao Penal - Procedimento Sumario,05/12/2007 as 08:00 - Direcionada | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,JOAO DE OLIVEIRA RODRIGUES FILHO,28/02/2020 00:00 - No Cartorio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0188041-64.2008.8.26.0100,,Civel,Classificacao de creditos,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2014 as 12:27,2008/000298,Restituicao de Coisa ou Dinheiro na Falencia do Devedor Empresario (0000099-73.2014.8.26.0100),0188041-64.2008.8.26.0100,07/01/2014 as 12:27 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0188041-64.2008.8.26.0100,NA,TRUE,NA,NA,JOAO DE OLIVEIRA RODRIGUES FILHO,NA,NA,NA,"23.297.333,45",NA,NA,NA,NA,NA,NA,NA
1003823-78.2016.8.26.0268,,Civel,Recuperacao judicial e Falencia,2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,05/12/2016 as 12:44,2017/000542,Habilitacao de Credito (0000115-03.2017.8.26.0268),1003823-78.2016.8.26.0268,05/12/2016 as 12:44 | 2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,1003823-78.2016.8.26.0268,NA,TRUE,NA,NA,PAULO FURTADO DE OLIVEIRA FILHO,NA,NA,NA,"5.000,00",NA,NA,NA,NA,NA,NA,NA
1003823-78.2016.8.26.0268,,Civel,Recuperacao judicial e Falencia,2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,11/01/2017 as 13:42,2017/000542,Habilitacao de Credito (0000116-85.2017.8.26.0268) Extinto,1003823-78.2016.8.26.0268,11/01/2017 as 13:42 | 2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,1003823-78.2016.8.26.0268,NA,TRUE,NA,NA,PAULO FURTADO DE OLIVEIRA FILHO,NA,NA,NA,"4.034,05",NA,NA,NA,NA,NA,NA,NA
0130923-04.2006.8.26.0100,,Civel,Classificacao de creditos,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2015 as 12:40,2006/000173,Alvara Judicial (0000149-65.2015.8.26.0100) Extinto,0130923-04.2006.8.26.0100,07/01/2015 as 12:40 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0130923-04.2006.8.26.0100,NA,TRUE,NA,NA,NA,NA,NA,NA,"1.000,00",NA,NA,NA,NA,NA,NA,NA
0000150-60.2014.8.26.0108,,Civel,Indenizacao por Dano Material,2ª Vara Judicial - Foro de Cajamar,13/01/2014 as 10:56 - Livre,2014/000110,NA,NA,NA,0000150-60.2014.8.26.0108,NA,FALSE,Procedimento Comum Civel,13/01/2014 as 10:56 - Livre | 2ª Vara Judicial - Foro de Cajamar,RICARDO VENTURINI BROSCO,09/03/2020 00:00 - Fila da Conclusao - Minuta,NA,NA,"R$ 60.000,00",NA,NA,NA,NA,NA,NA,NA
0041722-88.2012.8.26.0100,,Civel,Classificacao de creditos,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2015 as 13:07,2012/000274,Impugnacao de Credito (0000160-94.2015.8.26.0100),0041722-88.2012.8.26.0100,07/01/2015 as 13:07 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0041722-88.2012.8.26.0100,NA,TRUE,NA,NA,NA,NA,NA,NA,"7.372.709,52",NA,NA,NA,NA,NA,NA,NA
0074201-23.2001.8.26.0100,,Civel,Recuperacao judicial e Falencia,3ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2015 as 13:24,2018/000642,Habilitacao de Credito (0000165-19.2015.8.26.0100),0074201-23.2001.8.26.0100,07/01/2015 as 13:24 | 3ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0074201-23.2001.8.26.0100,NA,FALSE,NA,NA,NA,01/05/2020 00:00 - Gabinete do Juiz - 1 vol,NA,NA,"R$ 3.945,91",NA,NA,NA,NA,NA,NA,NA
0111888-53.2009.8.26.0100,,Civel,Classificacao de creditos,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2014 as 15:38,2009/000024,Impugnacao de Credito (0000176-82.2014.8.26.0100) Extinto,0111888-53.2009.8.26.0100,07/01/2014 as 15:38 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0111888-53.2009.8.26.0100,NA,TRUE,NA,NA,NA,NA,NA,NA,"298.746,18",NA,NA,NA,NA,NA,NA,NA
0000191-13.1998.8.26.0100,Extinto,Civel,Inventario e Partilha,9ª Vara da Familia e Sucessoes - Foro Central Civel,08/01/1998 as 16:19 - Livre,1998/000019,NA,NA,NA,0000191-13.1998.8.26.0100 (000.98.000191-9) Extinto,NA,FALSE,Arrolamento Comum,08/01/1998 as 16:19 - Livre | 9ª Vara da Familia e Sucessoes - Foro Central Civel,Jose Walter Chacon Cardoso,29/01/2020 00:00 - Arquivo Geral,NA,NA,"R$ 37.404,50","583.00.1998.000191, 1998/000019",NA,NA,NA,NA,NA,NA
0040759-80.2012.8.26.0100,,Civel,Classificacao de creditos,1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,07/01/2014 as 17:26,2012/000268,Impugnacao de Credito (0000237-40.2014.8.26.0100) Extinto,0040759-80.2012.8.26.0100,07/01/2014 as 17:26 | 1ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0040759-80.2012.8.26.0100,NA,TRUE,NA,NA,JOAO DE OLIVEIRA RODRIGUES FILHO,NA,NA,NA,"450.333,86",NA,NA,NA,NA,NA,NA,NA
0146248-48.2008.8.26.0100,,Civel,Classificacao de creditos,2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,08/01/2016 as 12:48,2008/000132,Restituicao de Coisa ou Dinheiro na Falencia do Devedor Empresario (0000251-53.2016.8.26.0100),0146248-48.2008.8.26.0100,08/01/2016 as 12:48 | 2ª Vara de Falencias e Recuperacoes Judiciais - Foro Central Civel,0146248-48.2008.8.26.0100,NA,TRUE,NA,NA,PAULO FURTADO DE OLIVEIRA FILHO,NA,NA,NA,"R$ 4.147.972,47",NA,NA,NA,NA,NA,NA,NA
0000256-46.2019.8.26.0108,Encaminhado a outro tribunal,Civel,Penhora / Deposito / Avaliacao,Setor Unificado de Cartas Precatorias Civeis - Setor de Cartas Precatorias Civeis - Cap,30/10/2019 as 14:49 - Livre,2019/073282,NA,NA,NA,0000256-46.2019.8.26.0108 Encaminhado a outro tribunal,NA,TRUE,Carta Precatoria Civel,30/10/2019 as 14:49 - Livre | Setor Unificado de Cartas Precatorias Civeis - Setor de Cartas Precatorias Civeis - Cap,Edna Kyoko Kano,NA,NA,NA,"R$ 37.903,31",NA,Execucao Fiscal nro. 0001504-29.2017.4.01.3606 Tribunal Regional Federal 1ª Regiao - Subsecao Judiciaria de Juina - 1ª Vara Juina-MT Objeto : Penhora no rosto dos autos 0000928-06.2009.8.26.0108,NA,NA,NA,NA,NA
0000257-31.2019.8.26.0108,Extinto,Civel,Atos executorios,Vara das Execucoes Fiscais Estaduais - Foro das Execucoes Fiscais Estaduais,17/10/2019 as 13:46 - Livre,2019/005893,NA,NA,NA,0000257-31.2019.8.26.0108 Extinto,NA,TRUE,Carta Precatoria Civel,17/10/2019 as 13:46 - Livre | Vara das Execucoes Fiscais Estaduais - Foro das Execucoes Fiscais Estaduais,Juliana Koga Guimaraes,NA,NA,NA,NA,NA,"Execucao Fiscal nro. 0211985-65.2013.8.09.0174 2ª Vara Civel, Familia e Suc., FP, RP e Amb. da Comarca de Senador Canedo/GO Senador Canedo-GO",NA,NA,NA,NA,NA
